2,url
참지 않는 여자들 ,https://comicthumb-phinf.pstatic.net/20230311_28/pocket_1678493051760h0II1_JPEG/kyobo368613630139294724l9791197894978.jpg?type=m260
플로라 ,https://comicthumb-phinf.pstatic.net/20230311_132/pocket_16784931876797Am0L_JPEG/kyobo2355367443006653991l9791190275811.jpg?type=m260
"월 (wall, 최정나 장편소설) ",https://comicthumb-phinf.pstatic.net/20230310_42/pocket_1678403082659gelBO_JPEG/kpc_etc29504843195305734609788954691963.jpg?type=m260
낭패 (제9회 교보문고 스토리공모전 우수상 수상작) ,https://comicthumb-phinf.pstatic.net/20230310_121/pocket_1678406415071Ck09g_JPEG/kyobo110233716619761010l9791159098413.jpg?type=m260
카르멘 (소설 카르멘에서 오페라 카르멘으로) ,https://comicthumb-phinf.pstatic.net/20230310_181/pocket_1678406448894C4vjS_JPEG/kyobo3514112781366694086l9791186317686.jpg?type=m260
무자비한 여자들 (최고의 쌍년을 찾아라) ,https://comicthumb-phinf.pstatic.net/20230310_20/pocket_1678406523824nqL7R_JPEG/kyobo4750946142494084843l9791164803040.jpg?type=m260
러브 몬스터 ,https://comicthumb-phinf.pstatic.net/20230308_130/pocket_1678230229677S9GE8_JPEG/kpc70807995510795414349788936412395.jpg?type=m260
불행한 당신을 위하여 ,https://comicthumb-phinf.pstatic.net/20230308_150/pocket_1678233916139AvzS4_JPEG/kyobo7020835133178263262l9791165347062.jpg?type=m260
밤의 거미원숭이 (무라카미 하루키 초단편소설 모음집) ,https://comicthumb-phinf.pstatic.net/20230309_32/pocket_1678320483622BVIE8_JPEG/kyobo3107935885992657793l480D230315850.jpg?type=m260
공명의 선택 3 ,https://comicthumb-phinf.pstatic.net/20230308_138/pocket_1678234242186mom9N_JPEG/kyobo4276876931218112508l480D230307280.jpg?type=m260
공명의 선택 2 ,https://comicthumb-phinf.pstatic.net/20230308_82/pocket_1678234249282gTcuq_JPEG/kyobo2129973656206833328l480D230307220.jpg?type=m260
공명의 선택 1 ,https://comicthumb-phinf.pstatic.net/20230308_165/pocket_1678234256143Q1RoP_JPEG/kyobo7143000850243335002l480D230307180.jpg?type=m260
먼 바다 (공지영 장편소설) ,https://comicthumb-phinf.pstatic.net/20230308_230/pocket_1678230097332r3t5N_JPEG/kpc41356259688057256209788965749035.jpg?type=m260
향군 : 향기의 소리를 듣는 자 下 (머나먼 길) ,https://comicthumb-phinf.pstatic.net/20230304_41/pocket_1677888048419Iolzm_JPEG/kyobo3810691548549762036l9791198008855.jpg?type=m260
향군 : 향기의 소리를 듣는 자 上 (서편에서 온 소녀) ,https://comicthumb-phinf.pstatic.net/20230304_289/pocket_1677888138053Xsa5J_JPEG/kyobo4403713917458548737l9791198008848.jpg?type=m260
청년 주부 구운몽 (2023 스토리움 우수스토리 선정작) ,https://comicthumb-phinf.pstatic.net/20230304_177/pocket_1677888305299ASnuC_JPEG/kyobo1251692559912879209l9791163164883.jpg?type=m260
그 많던 싱아는 누가 다 먹었을까 (박완서 장편소설) ,https://comicthumb-phinf.pstatic.net/20230303_167/pocket_1677798007859oclfi_JPEG/kpc2559898930458888319788933801925.jpg?type=m260
그해 겨울은 따뜻했네 1 (박완서 장편소설) ,https://comicthumb-phinf.pstatic.net/20230303_44/pocket_1677798015611PCqHo_JPEG/kpc32186098493540318999788933801857.jpg?type=m260
나목 (박완서 장편소설) ,https://comicthumb-phinf.pstatic.net/20230303_173/pocket_1677798022755gX9hD_JPEG/kpc49735826212304663349788933801741.jpg?type=m260
목마른 계절 (박완서 장편소설) ,https://comicthumb-phinf.pstatic.net/20230303_60/pocket_1677798038004vnCu7_JPEG/kpc70817841409692985219788933801758.jpg?type=m260
미망 3 (박완서 장편소설) ,https://comicthumb-phinf.pstatic.net/20230303_25/pocket_1677798051758U8fjR_JPEG/kpc914582964899849471197889338019011.jpg?type=m260
미망 2 (박완서 장편소설) ,https://comicthumb-phinf.pstatic.net/20230303_158/pocket_1677798045594MXVB9_JPEG/kpc4174729503261317109788933801895.jpg?type=m260
아주 오래된 농담 (박완서 장편소설) ,https://comicthumb-phinf.pstatic.net/20230303_246/pocket_1677798058012aW9tR_JPEG/kpc82327117560453053019788933801949.jpg?type=m260
오만과 몽상 2 (박완서 장편소설) ,https://comicthumb-phinf.pstatic.net/20230303_48/pocket_1677798071785OQ7T5_JPEG/kpc34641054967560477479788933801833.jpg?type=m260
오만과 몽상 1 (박완서 장편소설) ,https://comicthumb-phinf.pstatic.net/20230303_132/pocket_1677798064690vVMJn_JPEG/kpc64004008295562507379788933801826.jpg?type=m260
